#     BM29  -  E.S.R.F.  -  Fri Jun 25 20:26:26 1999
# file name:  data/1999a/ihrjun99 / Mofoil2.dat
# -------------------------------------------------------
# monochromator:  Si ( 1 1 1 ) flat
# adopted d spacing  3.13484 Angstroems
# first crystal initial temperature  0  C
# primary slit vertical aperture  0.195  mm
# initial ring current  190.713  mA
# electrometer ranges for I0, I1 (and I2):  3e-06 3e-07 1e-07  A
# -------------------------------------------------------
# EXAFS scan with optimized energy mesh
# parameter file name:  Mo_K.par
# Energy limits   19.85 21  KeV
# Detuning =  -0.5  Loeffen
# acquisition time per point  0.3  s
# target I0 counts for feedback in  0.2  s  66060.8 60060.8 counts
#  Foils for ID24
# -------------------------------------------------------
# E(keV), alpha, E_hdh(keV), I0, I1, (13 fluo channels), point, qg1, T1, T2, I2, ref, Unknown
19.9300708 -2.71836 99329 1505390 295144 -8.71136396 47 2468.61 0 0 -1.08902 2143 2473
19.9303615 -2.71823 99792 1512211 295148 -8.71136396 48 2469.75 0 0 -1.08438 2253 2471
19.9306522 -2.71827 99438 1506901 295147 -8.71136396 49 2469.22 0 0 -1.08793 2153 2453
19.930943 -2.71846 99615 1509865 295149 -8.71136396 50 2469.43 0 0 -1.08616 2142 2499
19.9312337 -2.71828 99953 1514728 295149 -8.71136396 51 2470.12 0 0 -1.08277 2105 2483
19.9315244 -2.7183 99529 1508334 295148 -8.71136396 52 2469.04 0 0 -1.08702 2144 2437
19.9318152 -2.71818 99867 1513271 295148 -8.71136396 53 2469.51 0 0 -1.08363 2185 2482
19.9321059 -2.71812 99314 1504800 295152 -8.71136396 54 2469.14 0 0 -1.0892 2138 2463
19.9324936 -2.71831 99059 1501212 295149 -8.71136396 55 2472.35 0 0 -1.09176 2218 2389
19.9327844 -2.71834 99576 1509099 295149 -8.71136396 56 2472.97 0 0 -1.08655 2168 2405
19.9330752 -2.71832 99476 1507557 295149 -8.71136396 57 2472.37 0 0 -1.08756 2188 2434
19.9333659 -2.71832 99559 1508804 295148 -8.71136396 58 2473.21 0 0 -1.08672 2157 2422
19.9336567 -2.71805 99612 1509200 295148 -8.71136396 59 2473.04 0 0 -1.08619 2197 2411
19.9339476 -2.71835 99522 1508293 295147 -8.71136396 60 2472.9 0 0 -1.08709 2052 2470
19.9342384 -2.71821 99522 1508088 295148 -8.71136396 61 2472.66 0 0 -1.08709 2125 2438
19.9345292 -2.71819 99564 1508696 295150 -8.71136396 62 2472.45 0 0 -1.08668 2146 2409
19.93482 -2.71831 99507 1508007 295149 -8.71136396 63 2472.56 0 0 -1.08725 2178 2542
19.9351109 -2.71814 99508 1507769 295149 -8.71136396 64 2472.02 0 0 -1.08724 2228 2389
19.9354987 -2.71827 99410 1506477 295148 -8.71136396 65 2474.03 0 0 -1.08822 2109 2495
19.9357895 -2.71838 99125 1502331 295149 -8.71136396 66 2473.34 0 0 -1.09109 2125 2430
19.9360804 -2.71812 99668 1510159 295149 -8.71136396 67 2474.45 0 0 -1.08563 2208 2409
19.9363713 -2.7179 99655 1509631 295146 -8.71136396 68 2473.79 0 0 -1.08575 2205 2440
19.9366622 -2.71813 99306 1504698 295147 -8.71136396 69 2472.35 0 0 -1.08926 2175 2541
19.9369531 -2.71832 99176 1503012 295148 -8.71136396 70 2472.86 0 0 -1.09057 2136 2394
